Country,Code,Fruit,Bananas,Dates,Citrus,Oranges,Apples,Lemons,Grapes,Grapefruit,Pineapples,Plantains,Other
Afghanistan,AFG,34.05,2.7,0.02,1.29,4.75,2.22,NA,15.8,NA,0,NA,7.29
Africa,,66.18,14.31,2.69,4.18,6.66,2.83,0.86,2.39,0.53,3.67,14.13,13.93
Albania,ALB,142,6.24,3.8,0.24,12.59,24.6,1.55,48.16,0.12,0.05,0.17,44.48
Algeria,DZA,114.19,6.3,20.93,0.23,28.47,13.86,1.91,13.06,0.07,0.26,0,29.1
Americas,,102.99,15.92,0.06,0.89,21.6,10.84,6.54,5.04,1.45,7.5,7.19,25.98
Angola,AGO,90.34,53.76,0,12.76,0.28,1,NA,0.11,NA,20.09,NA,2.33
Antigua and Barbuda,ATG,157.78,11.42,0.09,1.31,17.52,2.07,4.53,4.22,2.79,7.79,2.48,103.56
Argentina,ARG,76.42,12.84,0,NA,21.43,19.72,4.25,1.05,3.81,0.97,0.09,12.25
Armenia,ARM,110.87,0.77,0.15,0.46,4.78,24.79,0.31,13.54,0.52,0.16,2.55,62.84
Asia,,71.86,11.63,0.85,1.39,9.5,9.97,1.24,4.36,1.16,1.88,0.37,29.51
"Asia, Central",,75.45,0.79,0.15,0.06,2.36,23.48,0.14,20.8,0.12,0.15,0.1,27.3
Australia,AUS,88.16,14.85,0.22,0.1,15.61,22.88,1.66,6.59,0.45,5.22,0,20.57
Australia & New Zealand,,89.92,14.47,0.23,0.51,15.07,21.84,1.58,7.01,0.46,4.91,0.64,23.19
Austria,AUT,154.11,10.92,0.17,0.81,25.82,48.34,3.64,8.68,0.85,2.58,0.1,52.19
Azerbaijan,AZE,74.93,0.95,0.06,0.37,3.86,14.06,0.54,14.31,0.09,0.15,0,40.54
Bahamas,BHS,278.89,27.71,0.05,0.02,60.95,39.9,33.84,6.61,53.72,3.86,1.61,50.63
Bangladesh,BGD,23.33,4.45,0,0.05,0.78,0.95,0.36,0.26,0.37,1.07,NA,15.05
Barbados,BRB,96.22,10.34,0.05,0.14,28.08,14.72,2.8,7.81,1.85,3.06,3.64,23.74
Belarus,BLR,71.8,7.78,0.07,0.06,10.45,26.51,0.82,1.49,1.63,1.18,0,21.81
Belgium,BEL,71.37,4.26,0.22,0.03,7.27,24.03,1.96,7.09,1.39,2.68,1.46,20.98
Belize,BLZ,170.32,6.56,0.01,0,88.84,0.85,NA,0.69,56.49,2.1,5.87,8.91
Benin,BEN,49.62,1.75,0.12,0,1.4,1.65,0,0.1,0,31.28,NA,13.33
Bermuda,BMU,215.2,14.77,NA,4.37,45.85,28.18,3.48,9.2,4.91,13.3,0.25,90.9
Bolivia,BOL,69.41,2.55,0,0,23.85,2.92,2.06,1.85,0.77,3.91,24.06,7.44
Bosnia and Herzegovina,BIH,106.76,5.83,0.11,0,9.57,22.87,1.98,8.25,0.41,0.37,2.81,54.55
Botswana,BWA,66.11,0.74,0.02,0.06,12.25,5.24,2.84,0.87,0.17,0.22,3.09,40.61
Brazil,BRA,93.19,28.99,0,0,16.59,4.95,4.5,4.75,0.35,9.77,NA,23.3
Brunei,BRN,76.51,2.14,0.66,3.09,16.48,6.5,1.36,1.86,1.15,5.57,4.08,33.63
Bulgaria,BGR,70.43,4,0.13,0.72,7.28,6.45,1.7,10.95,1.24,0.31,0.33,37.32
Burkina Faso,BFA,6.4,0.3,0.02,0.14,0.25,0.11,0.02,0.02,0.02,0.24,0,5.29
Cambodia,KHM,26.25,10.48,0.01,0.03,4.24,0.33,0.15,0.13,0.22,1.55,NA,9.12
Cameroon,CMR,112.25,48.96,0.03,0,0.08,0.34,0,0.09,0.01,6.72,46.88,9.13
Canada,CAN,135.65,15.11,0.27,1.28,43.44,21.33,5.11,8.84,2.03,4.94,0.43,32.87
Cape Verde,CPV,80.18,18.1,0.03,0.4,13.14,10.08,0.68,1.7,0.1,2.04,NA,33.9
Caribbean,,150.53,28.51,0,0.4,11.27,1.68,2.3,0.78,3.44,14.59,32.37,55.19
Central African Republic,CAF,46.43,25.18,0,NA,5.48,0,0.51,0,0.99,3.1,7.43,3.75
Central America,,97.98,11.27,0.03,0.19,29.08,7.79,8.76,2.25,2.28,6.12,2.46,27.75
Chad,TCD,8.51,0,1.41,NA,0,0,0,0,0,NA,NA,7.1
Chile,CHL,63.92,9.43,0,0.09,5.74,11.13,6.33,5.14,0.04,2.92,0.67,22.43
China,CHN,93.92,7.33,0.11,3.21,15.32,20.9,1.24,6.44,2.34,1.22,0,36.08
Colombia,COL,145.53,10.56,0,13.51,7.57,2.25,2.44,1.35,0.01,9.93,53.11,44.79
Congo,COG,65.21,21.02,0,0.21,2.96,0.78,1.27,0.45,1.02,1.11,17.42,18.96
Costa Rica,CRI,133.39,0.46,0,0.06,29.43,8.31,6.55,2.61,4.17,29.17,15.98,36.64
Cote d'Ivoire,CIV,77,1.55,0.04,0.65,1.62,0.4,0.01,0.06,1.21,0.85,63.96,6.65
Croatia,HRV,108.2,11.87,0.03,0.32,16.65,26.15,2.68,28.29,0.67,0.96,0,20.58
Cuba,CUB,138.56,11.87,0,0.22,6.97,0.34,0.43,0.2,2.97,6.63,44.65,64.28
Cyprus,CYP,64.83,7.51,0.53,0.2,18.16,8.45,5.31,2.87,2.91,0.93,0.02,17.93
Czechia,CZE,65.64,7.71,0.05,0.29,15.79,12.58,2.67,5.84,1.28,1.42,0.7,17.32
Denmark,DNK,121.58,14.19,0.46,0.36,43.89,24.37,1.9,8.52,1.25,3.91,0.14,22.59
Djibouti,DJI,44.61,5.04,0.83,0.52,3.49,0.08,2.95,2.73,0,0.17,NA,28.78
Dominica,DMA,354.78,41.67,NA,NA,83.14,3.98,15.36,1.55,152.71,0.79,19.44,36.14
Dominican Republic,DOM,261.09,63.73,0,NA,13.33,1.3,1.65,0.88,0.93,41.62,49.47,88.18
Eastern Africa,,54.8,24.88,0.03,0.55,2.32,0.31,0.21,0.07,0.11,1.86,14.12,10.33
Eastern Asia,,89.44,7.1,0.1,2.94,14.97,20.08,1.13,5.99,2.22,1.26,0,33.65
Eastern Europe,,67.79,6.57,0.11,0.28,10.48,18.97,1.59,4.34,1.28,0.97,0.28,22.91
Ecuador,ECU,102.49,35.49,0,1.46,5.05,4.31,0.32,1.99,0.25,3.99,23.97,25.64
Egypt,EGY,102.6,12.9,14.33,0.06,27.78,8.76,3.15,14.93,0.01,0.08,0.04,20.56
El Salvador,SLV,53.72,6.57,0.01,0.07,15.81,0.95,0.94,0.91,0.04,0.48,12.92,15
Estonia,EST,81.06,7.76,0.07,0.45,19.89,13.82,1.34,5.92,1.74,2.65,0,27.41
Eswatini,SWZ,88.22,4.95,0.27,0.79,22.68,4.74,1.13,0.75,22.55,18.39,NA,11.97
Ethiopia,ETH,7.13,2.82,0.02,0.27,0.51,0.07,0.04,0.04,0.04,0.08,NA,3.25
Europe,,94.93,8.49,0.16,0.54,24.6,19.19,2.29,8.2,1.86,2.31,0.36,26.93
"Europe, Western",,107.64,8.36,0.17,1.06,33.42,19.75,1.99,7.83,3.21,3.11,0.41,28.35
European Union,,103.7,8.65,0.14,0.72,30.34,18.42,2.65,9.83,2.17,2.87,0.47,27.44
Fiji,FJI,43.14,3.39,0.07,0.3,6.51,4.66,0.01,1.01,0.28,7.36,NA,19.55
Finland,FIN,95.24,13.58,0.11,0.41,31.35,17.5,1.06,4.89,0.74,4.09,0.01,21.5
France,FRA,114.34,4.64,0.26,0.11,48.56,13.15,2.12,5.24,5.1,2.6,0.6,31.94
French Polynesia,PYF,88.13,0.83,0.03,2.24,20.74,11.5,0.16,2.13,1.68,10.1,NA,38.73
Gabon,GAB,152.32,9.23,0.01,0.96,5.35,2.78,0.04,0.25,1.57,0.89,116.03,15.22
Gambia,GMB,8.63,0.06,0.1,0.04,1.16,0.16,0,0.02,0,0,NA,7.09
Georgia,GEO,49.93,3.48,0.07,0,20.09,3.39,1.26,3.83,0.25,0.31,0.01,17.24
Germany,DEU,88.46,11.85,0.1,2.27,15.59,18.65,1.51,8.73,1.25,3.31,0.02,25.19
Ghana,GHA,196.19,2.76,0,0,22.94,1.57,2.08,0.09,0.02,21.9,127.68,17.14
Greece,GRC,121.52,7.88,0.05,0.03,36.93,5.77,5.56,25.2,0.72,1.38,0.01,37.98
Grenada,GRD,147.41,16.98,0.01,10.14,15.77,5.32,2.65,0.68,16.24,0.52,2.44,76.65
Guatemala,GTM,59.99,5.27,0.01,0.52,15.99,1.41,7.33,1.97,0.04,8.29,2.77,16.39
Guinea,GIN,86.68,12.87,0.01,18.38,0.03,0.09,0,0,0,9.7,33.86,11.74
Guinea-Bissau,GNB,52.1,4.46,NA,NA,3.81,0.01,2.44,0,NA,0.25,24.39,16.75
Guyana,GUY,56.7,5.49,0.03,0.9,7.15,1.3,0.7,1.13,1.23,6.84,15.2,16.74
Haiti,HTI,66,19.63,NA,0.41,3.55,0.07,1.74,0.07,0.66,0.59,14.54,24.74
Honduras,HND,86.41,24.46,0.02,0.09,19.27,3.82,0.86,0.69,3.54,2.22,11.58,19.88
Hong Kong,HKG,79.68,7.17,0.2,0.32,18.45,8.37,2.36,3.66,2.55,1.53,0,35.07
Hungary,HUN,58.38,3.18,0.06,1.36,10.55,10.62,1.21,5.99,0.42,1.25,0.4,23.35
Iceland,ISL,133.1,10.2,0.54,0.71,36.24,29.69,1.98,10.23,1.08,3.54,8.25,30.67
India,IND,56.35,17.59,0.25,0.6,4.63,1.52,1.7,1.6,0.21,1.26,NA,27.01
Indonesia,IDN,58.38,19.02,0.12,0,5.7,0.56,0.02,0.19,0.01,5.45,NA,27.3
Iran,IRN,133.15,8.73,12.15,0.5,24.05,18.56,4.07,18.97,1.02,0.93,NA,44.16
Iraq,IRQ,45.98,2.1,6.81,NA,8.05,3.08,1.65,7.21,0.14,NA,NA,16.94
Ireland,IRL,158.56,11.35,0.05,9.58,95.33,9.86,1.88,7.01,1.43,2.6,2.48,16.99
Israel,ISR,118.83,17.46,2.34,0.37,7.8,17.36,8.83,16.64,4.48,0.84,NA,42.72
Italy,ITA,139.79,9.76,0.1,0.1,38.59,16.68,5.61,23.32,0.77,3.22,0.21,41.44
Jamaica,JAM,104.77,12.67,0,0.37,29.9,1.52,9.64,1.39,14.52,7.01,10.11,17.64
Japan,JPN,52.85,6.37,0.01,1.76,12.03,16.17,0.44,2.05,2.07,1.82,0,10.15
Jordan,JOR,57.5,6.91,2.6,1.05,10.87,10.94,4.05,5.17,1.02,0.32,4,10.58
Kazakhstan,KAZ,90.68,2.5,0.56,0.15,7.84,41.91,0.28,6.3,0.32,0.52,0.39,29.9
Kenya,KEN,54.79,26.8,0.09,2.33,2.56,0.26,0.38,0.05,0.06,1.54,0.62,20.1
Kiribati,KIR,84.55,58.15,NA,0.2,6.51,0.58,NA,0.02,0,0.4,NA,18.69
Kuwait,KWT,108.81,12.69,10.06,0.87,32.12,9.87,2.85,5.63,1,4.63,NA,29.1
Kyrgyzstan,KGZ,29.11,1.04,0.06,0.02,2.64,17.36,0.1,0.42,0.02,0.03,NA,7.42
Land Locked Developing Countries,,53.03,13.16,0.16,0.25,3.35,4.73,0.37,5.24,0.19,0.69,10.39,14.5
Laos,LAO,82.35,56.75,NA,NA,11.75,0.15,0.57,0.06,0.83,5.1,NA,7.15
Latvia,LVA,47.99,5.91,0.11,0.45,10.25,6.89,1.48,4.86,1.68,1.62,0.64,14.1
Least Developed Countries,,45.42,14.45,0.77,0.93,2.11,0.62,0.62,0.91,0.38,2.16,7.89,14.59
Lebanon,LBN,106.28,14.26,1.76,NA,14.15,13.08,15.15,9.2,1.64,3.55,2.54,30.94
Lesotho,LSO,28.24,0.19,NA,NA,1.21,1.44,NA,0.16,NA,0.02,NA,25.21
Liberia,LBR,43.48,28.29,NA,NA,1.93,0.11,0,0.03,NA,1.79,10.36,0.96
Lithuania,LTU,49.08,5.85,0.11,0.07,15.79,7.68,1.8,3.11,2.27,1.47,1.02,9.91
Low Income Food Deficit Countries,,53.51,13.77,0.54,1.84,3.93,1.84,1.12,1.57,0.24,1.99,5.58,21.1
Luxembourg,LUX,200.83,7.09,0.06,1.24,104.76,26.14,2.3,2.03,2.27,3.29,1.34,50.3
Macao,MAC,69.11,4.77,0,0.45,24.31,3.91,1.59,2.59,0.86,2.9,NA,27.73
Madagascar,MDG,45.74,13.94,0,0.01,3.68,0.37,0.18,0.02,0.47,3.15,NA,23.93
Malawi,MWI,62.32,21.25,0,0.47,0.04,0.05,0,0.01,0.01,0,20.5,19.99
Malaysia,MYS,45.29,7.57,0.6,0.17,6.56,3.5,0.58,2,0.27,7.26,0,16.78
Maldives,MDV,157.88,2.54,1.23,2.38,42.51,35.48,3.72,2.42,1.07,14.01,0.03,52.5
Mali,MLI,28.7,11.94,0,0.01,1.69,0.13,1.73,0.02,0,0.1,NA,13.08
Malta,MLT,76.2,6.77,0.18,11.3,22.05,9.73,1.79,4.89,0.45,1.38,0.8,16.86
Mauritania,MRT,11.34,0.92,5.03,0.32,0.17,0.91,1.38,0.04,0.01,0.23,0,2.34
Mauritius,MUS,66.93,6.55,0.18,1.49,8.18,17.06,0.66,2.67,1.41,10.99,NA,17.75
Melanesia,OWID_MNS,60.8,9.03,0.04,0.41,9.33,6.26,0.15,0.93,0.42,3.98,0.06,30.2
Mexico,MEX,107.44,12.31,0.04,0.15,33.51,8.79,10.69,2.52,2.54,5.41,0.02,31.47
Micronesia (region),,84.55,58.15,NA,0.2,6.51,0.58,NA,0.02,0,0.4,NA,18.69
Middle Africa,,79.27,37.14,0.28,4.1,0.82,0.55,0.12,0.1,0.18,8.92,19.99,7.06
Moldova,MDA,55.5,2.74,0.02,0.02,3.64,4.12,0.95,31.59,0.51,0.31,0.03,11.57
Mongolia,MNG,30.11,1.06,0,0,14.18,7.34,0,0.63,0.03,0.1,NA,6.77
Montenegro,MNE,136.93,12.89,0.08,0,28.93,20.88,3.79,11.17,1.01,0.92,NA,57.25
Morocco,MAR,85.31,9.62,2.88,0.2,25.6,16.16,0.35,11.26,0.01,0.1,NA,19.13
Mozambique,MOZ,26.04,13.34,NA,0.04,1.8,0.08,0.13,0.03,0.38,1.85,NA,8.39
Myanmar,MMR,39.32,NA,0,NA,NA,0.09,NA,0,NA,NA,15.96,23.26
Namibia,"NAM",72.82,0.15,0.08,0.13,9.67,21.31,1.64,5.26,0.61,0.69,1.88,31.39
Nepal,NPL,61.17,6.59,0.07,0.6,4.24,3.13,1.2,0.51,0.01,0.37,NA,44.45
Net Food Importing Developing Countries,,54.78,12.03,1.82,0.8,6.55,2.24,0.95,2.1,0.46,2.47,8.7,16.67
Netherlands,NLD,176.1,6.05,0.06,0,87.35,32.85,2.29,14.18,8.32,4.32,1.11,19.57
New Caledonia,NCL,122.49,3.25,0.05,1.76,43.9,30.08,0.68,3.41,2.18,4.84,0.43,31.9
New Zealand,NZL,99.01,12.48,0.25,2.68,12.31,16.45,1.17,9.19,0.52,3.27,3.92,36.76
Nicaragua,NIC,39.08,0.31,0.03,0.14,5.62,14.71,0.04,0.32,0.02,8.88,4.34,4.66
Niger,NER,28.46,0.23,1.97,0,0.21,0.06,0.01,0,0.04,0.03,NA,25.91
Nigeria,NGA,56.94,NA,0.03,18.61,0.03,0.08,NA,0.07,NA,7.4,16.01,14.72
North Korea,PRK,57.41,NA,NA,NA,0,28.56,NA,NA,NA,NA,NA,28.85
North Macedonia,MKD,98.32,1.49,0.21,0.08,11.8,7.25,2.08,44.46,0.49,0.3,6.27,23.88
Northern Africa,,96.96,11.81,12.72,0.68,22.43,9.43,3.08,10.81,1.42,0.14,0.02,24.43
Northern America,,107.63,12.07,0.15,0.27,25.87,18.74,8.96,8.78,1.74,6.21,0.86,23.97
Northern Europe,,122.67,14.5,0.24,0.88,41.9,24.06,2.04,9.16,3.08,3.18,0.43,23.2
Norway,NOR,140.87,15.31,0.17,0.42,52.3,33.91,1.42,8.62,1.54,2.69,0.01,24.47
Oceania,,88.71,14.55,0.21,0.54,14.65,20.57,1.49,6.51,0.46,4.98,0.59,24.16
Oman,OMN,229.22,14.79,67.55,2.17,42.86,8.76,3.18,5.76,0.11,0.76,1.91,81.36
Pakistan,PAK,29.35,0.12,2.28,0,8.78,3.09,0.45,0.51,0,0.03,NA,14.09
Panama,PAN,89.46,13.76,0.01,0.65,15.12,10.55,0.06,2.97,0.47,4.35,21.89,19.64
Paraguay,PRY,73.04,4.79,0,0,40.48,1.14,1.32,0.16,1.65,8.44,NA,15.07
Peru,PER,118.21,3.31,0.01,1.17,18.13,5.58,5.26,2.64,0.12,12.36,43.31,26.35
Philippines,PHL,105.7,47.63,0,1.67,1.44,1.22,0.03,0.38,0.35,10.84,NA,42.15
Poland,POL,60.17,1.99,0.04,0.7,9.09,17.31,2.16,3.87,1.98,0.97,0.36,21.7
Polynesia,OWID_PYA,134.15,32.92,0.02,2.66,13.09,8.89,1.75,1.35,0.99,14.34,NA,58.15
Portugal,PRT,125.25,12.84,0.03,0.05,37.55,26.46,2.25,4.71,1.02,5.22,0.42,34.71
Romania,ROU,76.17,1.83,0.04,0.26,7.77,21.86,1.69,8.74,1.19,0.51,2.18,30.1
Russia,RUS,71.65,9.03,0.15,0.14,11.34,23.44,1.47,1.32,1.33,1.14,NA,22.27
Rwanda,RWA,312.48,279.52,0,0.01,0.83,0.12,1.06,0,0.01,6.92,NA,24.01
Saint Kitts and Nevis,KNA,73.71,0.46,NA,0.49,12.61,4.85,0,2.69,0.31,4.49,NA,47.8
Saint Lucia,LCA,87.87,16.48,0.01,0.4,15.57,1.59,1.7,0.8,6.2,1.22,4.08,39.81
Saint Vincent and the Grenadines,VCT,183.42,26.61,NA,0.06,54.45,15.39,7.67,0.52,2.28,0.61,20.52,55.31
Samoa,WSM,201.25,79.7,NA,3.28,1.93,5.09,4.08,0.21,NA,20.52,NA,86.46
Sao Tome and Principe,STP,222.3,191.75,NA,NA,1.83,0.58,NA,0.16,0.1,0.2,NA,27.67
Saudi Arabia,SAU,91.52,6.38,34.25,2.93,10.87,10.46,1.18,6.05,0.93,2.2,3.91,12.35
Senegal,SEN,21.65,3.32,0.16,0,3.83,0.79,2.52,0.11,0.01,0.46,0,10.45
Serbia,SRB,109.85,4.99,0.01,0.24,8.95,23.43,1.71,1.92,0.41,0.24,0,67.94
Sierra Leone,SLE,37.92,NA,0,15.45,0.05,0.05,0,0.01,NA,0.02,6.9,15.45
Slovakia,SVK,58.05,6.42,0.17,0.36,16,10.2,2.23,11.33,1.14,0.92,1.52,7.77
Slovenia,SVN,117.35,11.99,0.1,1.91,14.4,34.6,0.21,20.57,1.14,1.62,0,30.82
Small island developing States,,135.26,25.19,0.02,0.5,11.56,2.62,2.02,0.83,3.32,12.57,27.45,49.18
Solomon Islands,SLB,51.63,0.42,NA,0.16,1.31,0.32,NA,0.04,0.01,0.01,NA,49.35
South Africa,ZAF,38,7.04,0.01,0.14,7.32,11.04,0.38,2.2,2.54,0.81,1.62,4.89
South America,,96.61,20.03,0,1.76,15.75,6.02,3.89,3.31,0.66,8.53,12.34,24.31
South Eastern Asia,,69.42,21.04,0.08,0.29,5.09,0.9,0.23,0.61,1.25,6.33,1.39,32.22
South Korea,KOR,66.86,6.05,0,0.02,20.12,3.15,0.31,6.71,0.47,1.87,NA,28.17
Southern Africa,,40.97,6.29,0.02,0.15,7.68,10.78,0.51,2.17,2.72,1.13,1.59,7.94
Southern Asia,,53.45,13.55,0.96,0.49,5.54,2.42,1.5,2.35,0.23,1.07,0.31,25.02
Southern Europe,,112.62,8.4,0.18,0.16,29.27,15.76,4.15,15.32,0.51,3.31,0.4,35.16
Spain,ESP,72.23,6.61,0.16,0.08,22.98,10.36,3.63,3.49,0.01,4.99,0.41,19.49
Sri Lanka,LKA,36.15,NA,0.36,NA,1.34,0.97,0.25,0.56,0,1.71,25.69,5.29
Sudan,SDN,78.96,19.95,11.53,0.04,4.86,0.22,6.37,0.21,5.21,0.2,NA,30.38
Suriname,SUR,116.46,4.82,NA,4.18,30.33,1.22,0.44,0.37,5.86,1.15,32.6,35.49
Sweden,SWE,125,8.13,0.24,1.53,57.42,20.43,2.46,5.16,2.24,2.2,0.03,25.17
Switzerland,CHE,103.61,9.94,0.25,0.01,22.86,19.93,3.41,6.64,2.65,3.78,0.16,33.98
Taiwan,TWN,115.57,11.78,0.18,2.7,15.02,6.39,0.99,5.93,3.44,15.38,NA,53.76
Tajikistan,TJK,33.21,NA,NA,NA,0.25,5.08,0.29,18.62,NA,NA,NA,8.97
Tanzania,TZA,77.38,38.07,0.08,0.8,7.03,0.29,0.23,0.14,0.02,6.59,10.97,13.15
Thailand,THA,103.12,15.11,0.01,0.09,10.5,1.37,1.61,2.58,4.27,10.02,NA,57.56
Timor,TLS,16.92,0.54,NA,NA,1.59,0.52,NA,NA,NA,0.14,NA,14.13
Togo,TGO,9.55,2.72,0,0.04,2.41,0.21,0,0.05,0.07,0.22,NA,3.83
Trinidad and Tobago,TTO,111.85,4.55,0.02,4.44,25.7,13.57,1.87,5.74,2.2,6.33,5.92,41.51
Tunisia,TUN,90.59,1.68,5.01,10.56,12.11,10.17,3.58,7.34,7.93,0.11,0,32.1
Turkey,TUR,127.17,4.93,0.64,0.03,23.39,33.51,3.66,26.27,1.09,0.19,NA,33.45
Turkmenistan,TKM,56.1,NA,NA,NA,0.42,8.59,NA,28.82,NA,NA,NA,18.27
Uganda,UGA,117.77,14.6,0,0.01,0.58,0.07,0,0.01,0,0.07,101.04,1.41
Ukraine,UKR,61.51,5.87,0.1,0.1,9.33,10.88,1.39,8.04,0.81,0.61,NA,24.37
United Arab Emirates,ARE,116.72,38.94,7.49,0.23,13.65,14.12,7,5.65,2.09,6.23,NA,21.31
United Kingdom,GBR,127.41,16.58,0.26,0.33,38.3,26.91,2.18,10.88,3.93,3.41,0.37,24.25
United States,USA,104.53,11.73,0.14,0.16,23.93,18.45,9.39,8.78,1.71,6.35,0.91,22.98
Uruguay,URY,71.27,11.1,0.02,0,23.73,12.26,4.43,1.61,0.8,0.64,0.36,16.33
Uzbekistan,UZB,91.17,0.13,0,0.04,0.15,22.11,0.04,32.12,0.08,0.04,NA,36.47
Vanuatu,VUT,80.18,53.58,NA,0,1.9,0.94,0.38,0.09,0.02,0.17,NA,23.11
Venezuela,VEN,81.68,11.94,0,0.02,15.07,0.47,2.01,1.9,0.22,12.92,14.99,22.12
Vietnam,VNM,68.06,18.39,0,NA,5.51,0.87,0,0.6,4.64,5.53,NA,32.52
Western Africa,,60.67,2.03,0.2,10.74,2.34,0.33,0.38,0.06,0.08,7.04,23.89,13.59
Western Asia,,94.78,6.66,8.07,0.55,15.08,16.99,3.06,14.03,0.89,0.93,0.78,27.73
World,OWID_WRL,77.87,12.28,0.93,1.62,12.39,10.1,2.03,4.59,1.18,2.97,3.27,26.51
Yemen,YEM,52.64,2.66,3.31,0.16,6.61,2.03,0.91,5.91,0,0.63,NA,30.42
Zambia,ZMB,10.23,0.2,0,0.12,1.33,0.83,0.01,0.07,0.01,0.04,0,7.59
Zimbabwe,ZWE,15.32,6.36,0,0.14,4.99,1.48,0.96,0.23,0.44,0.05,NA,0.66
